NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
Attitude Hotels,Mauritius,Calabasses,0,https://navigate.itb.com/company/Attitude-Hotels--1003548,Tina Leuthold,
Avani+Fares Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Avani+Fares-Maldives--1215969,Thaaif Ahmed,Director of Sales & Marketing
Avani+ Khao Lak Resort,Thailand,Phang Nga,82190,https://navigate.itb.com/company/Avani+-Khao-Lak-Resort--1215837,Chutinthon Santhitivatanakul,Director of Sales
Avani+ Koh Lanta Krabi Resort,Thailand,Krabi,81150,https://navigate.itb.com/company/Avani+-Koh-Lanta-Krabi-Resort--1003733,Karun Cornell,Cluster Director of Sales & Marketing
Avani+ Palm View Dubai Hotel & Suites and La Suite Dubai Hotel & Apartments,United Arab Emirates,Dubai,P.O. Box 502624,https://navigate.itb.com/company/Avani+-Palm-View-Dubai-Hotel-Suites-and-La-Suite-Dubai-Hotel-Apartments--1216554,Christine Khachatryan,Cluster Director of Sales & Marketing
Avaz doo Hotel Radon Plaza,Bosnia & Herzegovina,Sarajevo,185,https://navigate.itb.com/company/Avaz-doo-Hotel-Radon-Plaza--1020348,Lejla Softic,Sales Manager
Awaze,United Kingdom,Lowestoft,NR322LW,https://navigate.itb.com/company/Awaze--1003836,Berthold Giesbers,Travel Agency Manager
AX Hotels,Malta,Mosta,MST1741,https://navigate.itb.com/company/AX-Hotels--1003849,Ludgarda Schembri,Cluster Sales Manager - Leisure
Ayada Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Ayada-Maldives--1003885,Badr Eddine Rakmi,Directors of Sales & Marketing
AZAO RESORT AND SPA CO. LTD,Tanzania,Zanzibar,3456,https://navigate.itb.com/company/AZAO-RESORT-AND-SPA-CO--LTD--1216919,Khaled Emara,General Manager
AZIA RESORT AND SPA,Cyprus,PAPHOS,8220,https://navigate.itb.com/company/AZIA-RESORT-AND-SPA--1215743,ILDIKO OROSZLAN,PROJECT MANAGER SALES OFFICE
Azoris Hotels & Leisure,Portugal,Ponta Delgada,9500-216,https://navigate.itb.com/company/Azoris-Hotels-Leisure--1003974,Gil Sousa,
Azure del Mar Belize,Belize,Placencia,0,https://navigate.itb.com/company/Azure-del-Mar-Belize--1213461,Devon Benbrook,Owner
AZZ Hoteles,Spain,Sevilla,41020,https://navigate.itb.com/company/AZZ-Hoteles--1216719,Jose Chacon,Director of Sales & Marketing
Baan Chaweng Beach Resort & Spa - Koh Samui,Thailand,"Koh Samui, Suratthani",84320,https://navigate.itb.com/company/Baan-Chaweng-Beach-Resort-Spa---Koh-Samui--1207678,Preksa Suksong,Sales Executive
